classification_code,classification_name,classification_description,category,subcategory
TfNSW-STR-001,Bridge and Viaduct Structures,Bridges viaducts and elevated structures on the NSW road and transport network carrying road rail and pedestrian loads over obstacles waterways and railways,Structures,Bridges and Viaducts
TfNSW-STR-002,Bridge Superstructure and Deck Elements,Load-carrying bridge deck and superstructure elements including reinforced concrete slabs prestressed concrete beams steel beam girder systems and composite decks,Structures,Bridge Superstructure
TfNSW-STR-003,Box Culvert and Pipe Culvert Structures,Stormwater and drainage culvert structures under roads and embankments including reinforced concrete box culverts pipe culverts multi-cell culverts and arch culverts,Structures,Culverts
TfNSW-STR-004,Retaining Walls and Soil Retention Structures,Engineered retaining and soil retention structures including reinforced concrete cantilever walls gravity walls gabion walls mechanically stabilised earth walls and sheet pile retaining structures,Structures,Retaining Structures
TfNSW-STR-005,Road Tunnel Civil Structures,Road tunnel civil structures including portal structures concrete liners invert slabs cross-passages and associated underground structural works on the NSW road network,Structures,Tunnels
TfNSW-PAV-001,Flexible Road Pavement,Asphalt surfaced flexible road pavement systems on the NSW road network including AC wearing course binder course asphalt base dense graded base and subbase layers,Pavements,Flexible Pavement
TfNSW-PAV-002,Rigid and Concrete Road Pavement,Concrete pavement systems on the NSW road network including jointed plain concrete continuously reinforced concrete and prestressed concrete pavement slabs,Pavements,Rigid Pavement
TfNSW-PAV-003,Footpath and Pedestrian Pavement Infrastructure,Pedestrian footpaths shared paths and cycleways within road reserves on the NSW network including concrete paving kerb ramps accessibility features and tactile ground surface indicators,Pavements,Pedestrian Infrastructure
TfNSW-DRN-001,Road Stormwater Drainage Collection,Road drainage infrastructure for surface water collection and conveyance including kerb inlet pits gully pits stormwater pipes drainage channels and outlet structures,Drainage,Stormwater Drainage
TfNSW-DRN-002,Drainage Culverts and Waterway Crossings,Underground drainage culvert pipes and waterway crossing structures for stormwater conveyance beneath roads and embankments on the NSW network,Drainage,Culverts and Pipes
TfNSW-DRN-003,Kerb and Gutter Infrastructure,Roadside kerb and gutter concrete infrastructure for stormwater surface collection road edge definition and pedestrian safety on NSW roads,Drainage,Kerb and Gutter
TfNSW-DRN-004,Stormwater Pump Stations,Stormwater pump stations and associated mechanical electrical civil infrastructure for drainage management of flood-prone low-lying road catchments,Drainage,Pump Stations
TfNSW-TRF-001,Traffic Signal Infrastructure,Traffic signal control systems at intersections including SCATS compatible controllers adaptive signal management signal heads pedestrian signals loop detectors and communication networks,Traffic Facilities,Traffic Signals
TfNSW-TRF-002,Variable Message Signs and Sign Gantries,Overhead and roadside variable message sign systems including full-matrix LED sign panels motorway overhead gantry structures and traffic management centre integration on NSW roads,Traffic Facilities,Variable Message Signs
TfNSW-TRF-003,Road Safety Barriers and Guardrail Systems,Road safety barrier systems on the NSW network including W-beam steel guardrail wire rope barrier concrete jersey barrier crash cushions end treatments and transition pieces,Traffic Facilities,Safety Barriers
TfNSW-LGT-001,Street and Road Lighting Assets,Street and road lighting infrastructure on the NSW network including steel aluminium and concrete lighting poles luminaires brackets underground cables and lighting control systems,Lighting,Street and Road Lighting
TfNSW-TUN-001,Road Tunnel Ventilation Systems,Mechanical ventilation systems in NSW road tunnels including reversible axial jet fans extraction fans ventilation ducts fan buildings and building management system integration,Tunnels,Ventilation
TfNSW-ITS-001,CCTV Monitoring and Surveillance Infrastructure,Closed circuit television monitoring infrastructure on the NSW road network including PTZ cameras fixed cameras camera poles housings underground cables and TMC integration,Intelligent Transport Systems,CCTV
TfNSW-ITS-002,Automated Incident Detection Systems,Automated incident detection systems on NSW motorways and tunnels including video analytics radar detection microwave detectors and integration with traffic management centres,Intelligent Transport Systems,Incident Detection
TfNSW-PST-001,Bus Shelters and Passenger Waiting Facilities,Bus passenger waiting shelters seating and facilities at NSW bus stops and transport interchanges including aluminium frames glazing panels bench seating and real-time information displays,Public Transport Infrastructure,Bus Infrastructure
TfNSW-UTL-001,Water Supply and Distribution Main Infrastructure,Potable and recycled water supply and distribution main pipe infrastructure within NSW transport corridors including cast iron ductile iron and PE mains,Utilities,Water Mains
TfNSW-UTL-002,Telecommunications and Data Infrastructure,Telecommunications and data communication infrastructure within the NSW transport network including conduits fibre optic cables copper cables and communication exchange facilities,Utilities,Telecommunications
