asset_id,asset_name,asset_type,description,location,condition,technical_specs
AST001,Main Street Bridge,Bridge Structure,Reinforced concrete bridge over Main Creek with dual carriageway carrying road traffic,Main Street over Main Creek,Good,Span: 45m; Width: 12m; Load rating: Class A; Deck: RC slab
AST002,Hume Highway Flexible Pavement K23,Road Pavement,Flexible asphalt pavement on primary arterial route with AC wearing course and DGB base,Hume Highway KM 23,Fair,AC surface 50mm; Binder 60mm; Base 200mm DGB; Subbase 300mm
AST003,CBD Traffic Signal Controller TC-014,Traffic Control,Adaptive traffic signal controller managing 4-way intersection with pedestrian phases,Elizabeth St and George St intersection,Good,SCATS compatible; 8-phase controller; LED signal heads; loop detectors
AST004,Box Culvert Drain BX-007,Drainage Culvert,Reinforced concrete box culvert for stormwater drainage under access road,Industrial Estate drainage corridor,Good,1200x900mm box; Class 2 concrete; headwalls both ends; 18m length
AST005,Station Road Street Light SL-122,Street Lighting,HPS street lighting pole with luminaire on collector road,Station Road,Poor,8m galvanised steel pole; 150W HPS lamp; RMS approved bracket
AST006,Parramatta Road Footpath FP-033,Pedestrian Pathway,Concrete footpath along arterial road with tactile ground surface indicators,Parramatta Road western side,Good,1.8m wide; 100mm concrete slab; tactile indicators; kerb ramps
AST007,Industrial Precinct Retaining Wall RW-019,Retaining Wall,Reinforced concrete cantilever retaining wall supporting embankment fill,Industrial Precinct southern boundary,Good,Height: 3.2m; Length: 45m; Reinforced concrete cantilever; drainage behind wall
AST008,Flood Street Pump Station PS-003,Drainage Pump Station,Stormwater pump station managing flood-prone low-lying catchment area,Flood Street low point,Fair,2x 450 L/s submersible pumps; wet well 50m3; rising main DN300; telemetry
AST009,M4 Motorway Variable Message Sign OHS-112,Road Signage,Variable message sign gantry mounted overhead on motorway for traffic information,M4 Motorway KM 31.5,Good,Full-matrix LED VMS; 3-panel display; motorway overhead gantry structure; TMC integration
AST010,Cross City Tunnel Ventilation Fan VF-021,Tunnel Ventilation,Axial flow jet fan for longitudinal ventilation in road tunnel,Cross City Tunnel mid-section,Good,75kW reversible jet fan; 2m diameter; 400V 3-phase; BMS integration
AST011,Bondi Junction Bus Shelter BS-044,Passenger Shelter,Glass and steel bus passenger waiting shelter with seating and real-time information,Bondi Junction bus terminus Bay 3,Fair,3m x 1.5m aluminium frame; toughened glass panels; bench seating; LED real-time display
AST012,M7 Motorway CCTV Camera CC-088,CCTV Surveillance,PTZ CCTV camera for motorway incident detection and monitoring,M7 Motorway KM 22.3 westbound,Good,1080p HD PTZ camera; IR night vision; 360 pan; integrated with Traffic Management Centre
AST013,Pacific Highway Guardrail GR-456,Safety Barrier,W-beam guardrail safety barrier system on rural arterial road shoulder,Pacific Highway rural section south of Kempsey,Fair,W-beam steel guardrail; post spacing 1.9m; 450m length; G4 end treatment
AST014,Victoria Road Kerb and Channel KC-789,Kerb and Gutter,Concrete mountable kerb and channel for stormwater collection and road edge definition,Victoria Road residential section,Good,Mountable kerb Type M; 150mm concrete; 320m lineal; stormwater inlet pits at 40m spacing
AST015,Waterworks Road Water Main WM-201,Water Main Pipe,Cast iron water distribution main pipe in underground corridor,Waterworks Road underground corridor,Poor,DN300 cast iron pipe; 1965 vintage; 450m length; operating pressure 450kPa
