classification_code,classification_name,classification_description,category,subcategory
ASTR-BRG-110,Bridge Deck and Superstructure,Bridge superstructure components including deck slabs reinforced concrete beams prestressed girders steel beams and composite deck systems carrying road traffic over obstacles,Structures,Bridges
ASTR-BRG-120,Culvert Structures,Buried drainage structures carrying road traffic over watercourses including reinforced concrete box culverts pipe culverts arch culverts and multi-cell culverts,Structures,Culverts
ASTR-BRG-130,Bridge Substructures,Bridge substructure components including abutments wing walls piers columns and foundations,Structures,Bridges
ASTR-PAV-210,Flexible Asphalt Pavement,Asphalt surfaced flexible pavement structures on roads including wearing course binder course asphalt base granular base and subbase,Pavements,Flexible Pavement
ASTR-PAV-220,Rigid Concrete Pavement,Concrete pavement structures including jointed plain concrete continuously reinforced concrete and prestressed concrete road pavement,Pavements,Rigid Pavement
ASTR-PAV-230,Footpath and Pedestrian Shared Path,Pedestrian footpaths cycleways and shared paths within the road reserve including concrete asphalt surface paving accessibility features and tactile indicators,Pavements,Pedestrian Pavement
ASTR-DRN-310,Stormwater Drainage Pipes and Culverts,Underground stormwater pipe networks and culvert drainage structures for subsurface drainage of road reserves and waterway crossings,Drainage,Stormwater Drainage
ASTR-DRN-320,Kerb Gutter and Channel,Roadside concrete kerb gutter channel and inlet structures for surface stormwater collection and conveyance to the underground drainage network,Drainage,Road Drainage
ASTR-DRN-330,Stormwater Pump Stations,Stormwater pump stations and associated civil mechanical electrical infrastructure for drainage of low-lying catchments including wet wells submersible pumps rising mains,Drainage,Pump Stations
ASTR-TMG-410,Traffic Signal Systems and Controllers,Traffic signal infrastructure at intersections including adaptive signal controllers signal heads pedestrian signals inductive loop detectors and communication systems,Traffic Management,Traffic Signals
ASTR-TMG-420,Variable Message Signs and Dynamic Signing,Overhead gantry and roadside variable message sign systems with LED display panels for motorway and arterial road traffic management information,Traffic Management,Dynamic Signage
ASTR-TMG-430,Road Safety Barriers and Guardrail Systems,Road safety barrier infrastructure including W-beam guardrail wire rope barrier concrete jersey barrier crash cushions and end anchor treatments,Traffic Management,Road Safety
ASTR-LGT-500,Road and Street Lighting Infrastructure,Road and street lighting assets including steel concrete and aluminium lighting poles luminaires brackets underground cables and street lighting control systems,Lighting,Street Lighting
ASTR-STR-610,Retaining Walls and Earth Retention,Engineered retaining and earth retention structures including reinforced concrete cantilever walls gravity walls gabion baskets mechanically stabilised earth and sheet piles,Structures,Retaining Structures
ASTR-TUN-700,Road Tunnel Civil Infrastructure,Road tunnel civil infrastructure including portal structures concrete liners invert slabs cross-passages niches and associated underground civil works,Structures,Tunnels
ASTR-TUN-710,Tunnel Ventilation Systems,Mechanical ventilation systems for road tunnels including reversible jet fans axial fans ducted ventilation systems fan buildings and building management systems,Structures,Tunnel Ventilation
ASTR-ITS-810,CCTV and Traffic Monitoring Systems,Closed circuit television camera systems for traffic and incident monitoring on roads and motorways including PTZ cameras fixed cameras infrastructure and TMC integration,Traffic Management,ITS and CCTV
ASTR-ITS-820,Automated Incident Detection Systems,Technology systems for automated motorway incident detection including video analytics radar microwave detection systems integrated with traffic management centres,Traffic Management,ITS
ASTR-PSG-910,Bus Shelters and Passenger Waiting Facilities,Bus passenger waiting shelters seating and associated facilities at designated bus stop locations including frames glazing lighting and real-time information displays,Public Transport,Bus Infrastructure
ASTR-UTL-960,Water Supply and Distribution Mains,Potable and recycled water supply main pipes and distribution infrastructure within road corridors including cast iron ductile iron and DICL mains,Utilities,Water Supply
ASTR-TMG-440,Road Signage and Pavement Markings,Regulatory warning and guide signs pavement markings line marking and delineation for road user information and navigation on the road network,Traffic Management,Signage
ASTR-DRN-340,Open Drainage Channels and Swales,Open lined and unlined surface drainage channels swales and table drains for road reserve stormwater management,Drainage,Open Drainage
