classification_code,classification_name,classification_description,category,subcategory
Ss_25_10_30,Highway and Road Systems,Systems associated with highways roads arterial routes and carriageways for motor vehicle travel including pavement structures and road formation,Civil Engineering Systems,Highway Systems
Ss_25_10_37,Flexible Pavement Systems,Road pavement systems using bituminous asphalt wearing course binder course road base and subbase layers for flexible road pavements,Civil Engineering Systems,Highway Systems
Ss_25_10_38,Rigid Pavement Systems,Concrete road pavement systems including jointed plain concrete continuously reinforced concrete and prestressed concrete pavement,Civil Engineering Systems,Highway Systems
Ss_25_13_15,Bridge Deck and Superstructure Systems,Superstructure systems for bridge decks including reinforced concrete prestressed concrete steel beam and composite beam deck systems,Civil Engineering Systems,Bridge and Tunnel Systems
Ss_25_13_20,Culvert and Waterway Crossing Systems,Drainage culvert systems including box culverts pipe culverts arch culverts for stormwater passage and waterway crossings under roads,Civil Engineering Systems,Bridge and Tunnel Systems
Ss_25_13_75,Road Tunnel Systems,Underground road tunnel systems for motor vehicle use including civil linings portals invert slabs and cross-passages,Civil Engineering Systems,Bridge and Tunnel Systems
Ss_25_14_15,Traffic Signal Control Systems,Traffic control signal systems at intersections including adaptive controllers signal heads pedestrian signals loop detectors and SCATS systems,Civil Engineering Systems,Traffic Management Systems
Ss_25_14_30,Variable Message and Overhead Sign Systems,Dynamic information display systems including full-matrix LED variable message signs overhead gantry sign structures and roadside VMS panels,Civil Engineering Systems,Traffic Management Systems
Ss_25_14_60,Road Safety Barrier Systems,Road safety barrier systems including W-beam guardrails wire rope barriers concrete jersey barriers crash cushions and end treatments,Civil Engineering Systems,Road Safety Systems
Ss_25_16_40,Street and Road Lighting Systems,Street and road lighting infrastructure systems including lighting poles luminaires brackets underground cables and control gear,Civil Engineering Systems,Road Lighting Systems
Ss_25_16_50,Tunnel Mechanical Ventilation Systems,Mechanical ventilation systems for road tunnels including longitudinal transverse and semi-transverse configurations using jet fans and extraction fans,Civil Engineering Systems,Tunnel Systems
Ss_25_16_57,Road CCTV and Surveillance Systems,Closed circuit television surveillance systems for road and tunnel monitoring including PTZ cameras fixed cameras infrastructure and control room integration,Civil Engineering Systems,Intelligent Transport Systems
Ss_25_30_10,Stormwater Drainage Pipe and Culvert Systems,Underground stormwater drainage pipe networks and culvert systems for subsurface water conveyance including inlet pits manholes and outlet structures,Civil Engineering Systems,Drainage Systems
Ss_25_30_15,Stormwater Pump Station Systems,Pump station systems for stormwater management including wet wells submersible pumps rising mains control panels telemetry and overflow provisions,Civil Engineering Systems,Drainage Systems
Ss_25_30_20,Kerb Gutter and Drainage Channel Systems,Roadside kerb gutter and channel systems for surface stormwater collection and conveyance including inlet pits gross pollutant traps,Civil Engineering Systems,Drainage Systems
Ss_25_50_15,Footpath Walkway and Shared Path Systems,Pedestrian footpath walkway and shared path systems with concrete or asphalt surface pavement kerb ramps tactile ground surface indicators and accessibility features,Civil Engineering Systems,Pedestrian Systems
Ss_25_60_25,Retaining Wall Systems,Structural retaining wall systems including cantilever reinforced concrete gravity walls sheet pile walls anchored walls and mechanically stabilised earth,Civil Engineering Systems,Geotechnical Systems
Ss_70_30_10,Bus Passenger Shelter Systems,Covered waiting shelters for bus passengers including structural frame glazing panels seating signage lighting and real-time passenger information displays,Building Services Systems,Passenger Facilities
Ss_80_90_20,Water Distribution Main Systems,Underground potable water distribution main pipe systems including trunk mains reticulation mains service connections valves and fittings,Building Services Systems,Water Supply Systems
Ss_25_14_70,Incident Detection and ITS Systems,Automated incident detection systems using video analytics radar and microwave sensors for motorway and tunnel management integrated with TMC,Civil Engineering Systems,Intelligent Transport Systems
Ss_25_10_50,Road Furniture and Street Furniture Systems,Roadside furniture systems including guideposts delineators marker posts safety fencing pedestrian barriers and road edge delineation,Civil Engineering Systems,Highway Systems
Ss_25_13_50,Bridge Substructure and Foundation Systems,Bridge substructure systems including abutments piers columns footings and pile foundations,Civil Engineering Systems,Bridge and Tunnel Systems
